Tree ID,Name,Oxygen_Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
5331,Acer campestre,4.5,5.2,1.6,3.4,9.1
5332,Acer campestre,4.5,5.2,1.6,3.4,9.1
5333,Celtis australis,3.5,8.300000000000001,2.5,6.7,35.2
5334,Celtis australis,3.5,8.300000000000001,2.5,6.7,35.2
5335,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5336,Aesculus hippocastanum,6.7,6,1.8,3,7.1
5337,Aesculus hippocastanum,36.1,12,3.6,8,50.3
5338,Aesculus hippocastanum,26.1,12,3.6,6,28.3
5339,Aesculus hippocastanum,10.7,8,2.4,8,50.3
5340,Aesculus hippocastanum,16.6,7,2.1,4,12.6
5341,Aesculus hippocastanum,26.1,12,3.6,6,28.3
5342,Aesculus hippocastanum,47.3,12,3.6,8,50.3
5343,Aesculus hippocastanum,9.4,8,2.4,6,28.3
5344,Aesculus hippocastanum,17.2,12,3.6,6,28.3
5345,Aesculus hippocastanum,15.1,8,2.4,6,28.3
5346,Aesculus hippocastanum,23.8,9,2.7,8,50.3
5347,Aesculus hippocastanum,21,8,2.4,4,12.6
5348,Aesculus hippocastanum,25.5,8,2.4,6,28.3
5349,Aesculus hippocastanum,21,8,2.4,6,28.3
5350,Aesculus hippocastanum,21.5,6,1.8,6,28.3
5351,Aesculus hippocastanum,12.6,6,1.8,6,28.3
5352,Aesculus hippocastanum,30.5,9,2.7,8,50.3
5353,Aesculus hippocastanum,7.8,5,1.5,3,7.1
5354,Aesculus hippocastanum,35.5,8,2.4,6,28.3
5355,Aesculus hippocastanum,17,10,3,6,28.3
5356,Aesculus hippocastanum,53.3,12,3.6,8,50.3
5357,Aesculus hippocastanum,16.5,6,1.8,4,12.6
5358,Aesculus hippocastanum,21.1,9,2.7,6,28.3
5359,Aesculus hippocastanum,53.3,12,3.6,9,63.6
5360,Aesculus hippocastanum,18.2,7,2.1,6,28.3
5361,Aesculus hippocastanum,21,8,2.4,6,28.3
5362,Aesculus hippocastanum,16.6,7,2.1,6,28.3
